year,runtime
1964,174.63333333333333
1965,175.06666666666666
1966,173.925
1967,177.66
1968,181.24
1969,179.76
1970,179.1
1971,183.8
1972,190.62
1973,185.6122448979592
1974,201.55102040816325
1975,184.0612244897959
1976,191.24
1977,197.82
1978,212.34
1979,205.98305084745763
1980,210.64
1981,213.82
1982,204.46
1983,213.0
1984,226.84
1985,224.8
1986,225.3
1987,234.55
1988,240.0
1989,244.43
1990,240.04
1991,247.91
1992,243.46
1993,248.64
1994,247.63
1995,248.29
1996,251.96
1997,247.13
1998,251.16
1999,246.1
2000,245.86
2001,251.52
2002,246.36
2003,242.97
2004,243.6
2005,244.35
2006,241.44
2007,241.3
2008,231.5
2009,221.0
2010,219.15
2011,218.72
2012,223.54
2013,218.65
2014,225.36
2015,213.64
2016,222.72
2017,217.38
2018,230.49
