year,lyric_per_runtime
1964,0.8005008064067808
1965,0.7693234915287801
1966,0.7067843303584533
1967,0.7193393724467255
1968,0.6873952007108955
1969,0.771939345521144
1970,0.8731052405825533
1971,0.8624338845630034
1972,0.8003733345033683
1973,1.07514797566229
1974,0.9705365543373958
1975,0.9183184141162225
1976,0.8092503346251634
1977,0.812889769640605
1978,0.8163234191293297
1979,0.9279647438426819
1980,0.8531201790627375
1981,0.8745624564281705
1982,0.9295512853570347
1983,1.0435586406276307
1984,0.8695171202196055
1985,0.9776870918182151
1986,0.930770694800353
1987,0.966929680334267
1988,0.9074149280461747
1989,0.9200294260715053
1990,0.9540139805084256
1991,0.9576622859076973
1992,1.0580195071079879
1993,1.1190363473381806
1994,1.1680921673636264
1995,1.328402137003467
1996,1.3933664362581133
1997,1.5652974349997197
1998,1.54534740437625
1999,1.9061971762997656
2000,1.8503529913307089
2001,1.878399612508442
2002,2.1368693159722443
2003,2.1551816264536745
2004,2.2123722989643557
2005,2.202061363723708
2006,2.2059171923532213
2007,2.1282882597521033
2008,2.52252283961044
2009,3.2091432674311813
2010,3.3202375443467447
2011,3.0690883002840277
2012,2.9457940908909346
2013,2.803820863602611
2014,2.645818334597915
2015,3.117252500421315
2016,2.6499120831902814
2017,2.7641175312425306
2018,2.576219356002637
